Program, Iterations, Array_Size, Total_Time, Average_Time
BHS_Stable,1,100,0.003547,0.003547
BHS_Experimental,1,100,0.001664,0.001664
QuickSort,1,100,0.001385,0.001385
BHS_Stable,1,100,0.001691,0.001691
BHS_Experimental,1,100,0.001322,0.001322
QuickSort,1,100,0.00065,0.00065
BHS_Stable,1,100,0.001832,0.001832
BHS_Experimental,1,100,0.000881,0.000881
QuickSort,1,100,0.00107,0.00107
BHS_Stable,1,100,0.001706,0.001706
BHS_Experimental,1,100,0.001394,0.001394
QuickSort,1,100,0.000523,0.000523
BHS_Stable,1,100,0.0017,0.0017
BHS_Experimental,1,100,0.012468,0.012468
QuickSort,1,100,0.000363,0.000363
BHS_Stable,1,100,0.000986,0.000986
BHS_Experimental,1,100,0.00042,0.00042
QuickSort,1,100,0.000244,0.000244
BHS_Stable,1,100,0.00087,0.00087
BHS_Experimental,1,100,0.000336,0.000336
QuickSort,1,100,0.000224,0.000224
BHS_Stable,1,100,0.000526,0.000526
BHS_Experimental,1,100,0.000309,0.000309
QuickSort,1,100,0.000198,0.000198
BHS_Stable,1,100,0.000557,0.000557
BHS_Experimental,1,100,0.000302,0.000302
QuickSort,1,100,0.000203,0.000203
BHS_Stable,1,100,0.000467,0.000467
BHS_Experimental,1,100,0.000285,0.000285
QuickSort,1,100,0.000203,0.000203
BHS_Stable,1,100,0.000538,0.000538
BHS_Experimental,1,100,0.000256,0.000256
QuickSort,1,100,0.00021,0.00021
BHS_Stable,1,100,0.000476,0.000476
BHS_Experimental,1,100,0.000274,0.000274
QuickSort,1,100,0.000234,0.000234
BHS_Stable,1,100,0.00044,0.00044
BHS_Experimental,1,100,0.00032,0.00032
QuickSort,1,100,0.000223,0.000223
BHS_Stable,1,100,0.000431,0.000431
BHS_Experimental,1,100,0.000272,0.000272
QuickSort,1,100,0.000209,0.000209
BHS_Stable,1,100,0.000492,0.000492
BHS_Experimental,1,100,0.000284,0.000284
QuickSort,1,100,0.000215,0.000215
BHS_Stable,1,100,0.000435,0.000435
BHS_Experimental,1,100,0.000254,0.000254
QuickSort,1,100,0.000203,0.000203
BHS_Stable,1,100,0.000561,0.000561
BHS_Experimental,1,100,0.000317,0.000317
QuickSort,1,100,0.000225,0.000225
BHS_Stable,1,100,0.000458,0.000458
BHS_Experimental,1,100,0.000255,0.000255
QuickSort,1,100,0.000251,0.000251
BHS_Stable,1,100,0.000454,0.000454
BHS_Experimental,1,100,0.000315,0.000315
QuickSort,1,100,0.000232,0.000232
BHS_Stable,1,100,0.000489,0.000489
BHS_Experimental,1,100,0.000306,0.000306
QuickSort,1,100,0.000213,0.000213
BHS_Stable,1,100,0.000472,0.000472
BHS_Experimental,1,100,0.000306,0.000306
QuickSort,1,100,0.000237,0.000237
BHS_Stable,1,100,0.000446,0.000446
BHS_Experimental,1,100,0.000281,0.000281
QuickSort,1,100,0.000211,0.000211
BHS_Stable,1,100,0.000472,0.000472
BHS_Experimental,1,100,0.000285,0.000285
QuickSort,1,100,0.000195,0.000195
BHS_Stable,1,100,0.000483,0.000483
BHS_Experimental,1,100,0.000555,0.000555
QuickSort,1,100,0.000249,0.000249
BHS_Stable,1,100,0.000467,0.000467
BHS_Experimental,1,100,0.000308,0.000308
QuickSort,1,100,0.00021,0.00021
BHS_Stable,1,100,0.000495,0.000495
BHS_Experimental,1,100,0.000272,0.000272
QuickSort,1,100,0.000225,0.000225
BHS_Stable,1,100,0.000497,0.000497
BHS_Experimental,1,100,0.000364,0.000364
QuickSort,1,100,0.000403,0.000403
BHS_Stable,1,100,0.000558,0.000558
BHS_Experimental,1,100,0.000348,0.000348
QuickSort,1,100,0.000251,0.000251
BHS_Stable,1,100,0.000497,0.000497
BHS_Experimental,1,100,0.000329,0.000329
QuickSort,1,100,0.000204,0.000204
BHS_Stable,1,100,0.000605,0.000605
BHS_Experimental,1,100,0.000331,0.000331
QuickSort,1,100,0.000361,0.000361
BHS_Stable,1,100,0.000489,0.000489
BHS_Experimental,1,100,0.000301,0.000301
QuickSort,1,100,0.000258,0.000258
BHS_Stable,1,100,0.000459,0.000459
BHS_Experimental,1,100,0.000282,0.000282
QuickSort,1,100,0.000282,0.000282
BHS_Stable,1,100,0.000437,0.000437
BHS_Experimental,1,100,0.000347,0.000347
QuickSort,1,100,0.000295,0.000295
BHS_Stable,1,100,0.000453,0.000453
BHS_Experimental,1,100,0.000291,0.000291
QuickSort,1,100,0.000272,0.000272
BHS_Stable,1,100,0.000496,0.000496
BHS_Experimental,1,100,0.000301,0.000301
QuickSort,1,100,0.000281,0.000281
BHS_Stable,1,100,0.000497,0.000497
BHS_Experimental,1,100,0.000286,0.000286
QuickSort,1,100,0.000265,0.000265
BHS_Stable,1,100,0.000558,0.000558
BHS_Experimental,1,100,0.000313,0.000313
QuickSort,1,100,0.000196,0.000196
BHS_Stable,1,100,0.00234,0.00234
BHS_Experimental,1,100,0.000424,0.000424
QuickSort,1,100,0.000251,0.000251
BHS_Stable,1,100,0.000539,0.000539
BHS_Experimental,1,100,0.000278,0.000278
QuickSort,1,100,0.001125,0.001125
BHS_Stable,1,100,0.00054,0.00054
BHS_Experimental,1,100,0.0003,0.0003
QuickSort,1,100,0.000223,0.000223
BHS_Stable,1,100,0.000439,0.000439
BHS_Experimental,1,100,0.000313,0.000313
QuickSort,1,100,0.000193,0.000193
BHS_Stable,1,100,0.000475,0.000475
BHS_Experimental,1,100,0.000291,0.000291
QuickSort,1,100,0.000211,0.000211
BHS_Stable,1,100,0.000444,0.000444
BHS_Experimental,1,100,0.000283,0.000283
QuickSort,1,100,0.000217,0.000217
BHS_Stable,1,100,0.000486,0.000486
BHS_Experimental,1,100,0.000263,0.000263
QuickSort,1,100,0.000207,0.000207
BHS_Stable,1,100,0.000484,0.000484
BHS_Experimental,1,100,0.000363,0.000363
QuickSort,1,100,0.000202,0.000202
BHS_Stable,1,100,0.000464,0.000464
BHS_Experimental,1,100,0.000281,0.000281
QuickSort,1,100,0.000197,0.000197
BHS_Stable,1,100,0.00045,0.00045
BHS_Experimental,1,100,0.000259,0.000259
QuickSort,1,100,0.000232,0.000232
BHS_Stable,1,100,0.000539,0.000539
BHS_Experimental,1,100,0.000336,0.000336
QuickSort,1,100,0.000231,0.000231
BHS_Stable,1,100,0.000495,0.000495
BHS_Experimental,1,100,0.000345,0.000345
QuickSort,1,100,0.000192,0.000192
BHS_Stable,1,100,0.000506,0.000506
BHS_Experimental,1,100,0.000305,0.000305
QuickSort,1,100,0.000216,0.000216
BHS_Stable,1,100,0.000466,0.000466
BHS_Experimental,1,100,0.000293,0.000293
QuickSort,1,100,0.00022,0.00022
BHS_Stable,1,100,0.000492,0.000492
BHS_Experimental,1,100,0.00029,0.00029
QuickSort,1,100,0.000205,0.000205
BHS_Stable,1,100,0.000553,0.000553
BHS_Experimental,1,100,0.000329,0.000329
QuickSort,1,100,0.001857,0.001857
BHS_Stable,1,100,0.000558,0.000558
BHS_Experimental,1,100,0.000344,0.000344
QuickSort,1,100,0.00019,0.00019
BHS_Stable,1,100,0.00048,0.00048
BHS_Experimental,1,100,0.002586,0.002586
QuickSort,1,100,0.000189,0.000189
BHS_Stable,1,100,0.00057,0.00057
BHS_Experimental,1,100,0.00031,0.00031
QuickSort,1,100,0.000234,0.000234
BHS_Stable,1,100,0.00053,0.00053
BHS_Experimental,1,100,0.000322,0.000322
QuickSort,1,100,0.000201,0.000201
BHS_Stable,1,100,0.000454,0.000454
BHS_Experimental,1,100,0.000298,0.000298
QuickSort,1,100,0.000227,0.000227
BHS_Stable,1,100,0.000527,0.000527
BHS_Experimental,1,100,0.000308,0.000308
QuickSort,1,100,0.000239,0.000239
BHS_Stable,1,100,0.000506,0.000506
BHS_Experimental,1,100,0.000345,0.000345
QuickSort,1,100,0.001803,0.001803
BHS_Stable,1,100,0.000617,0.000617
BHS_Experimental,1,100,0.000342,0.000342
QuickSort,1,100,0.000595,0.000595
BHS_Stable,1,100,0.000656,0.000656
BHS_Experimental,1,100,0.000284,0.000284
QuickSort,1,100,0.00019,0.00019
BHS_Stable,1,100,0.000584,0.000584
BHS_Experimental,1,100,0.000783,0.000783
QuickSort,1,100,0.000225,0.000225
BHS_Stable,1,100,0.000497,0.000497
BHS_Experimental,1,100,0.000309,0.000309
QuickSort,1,100,0.000208,0.000208
BHS_Stable,1,100,0.00058,0.00058
BHS_Experimental,1,100,0.0003,0.0003
QuickSort,1,100,0.000216,0.000216
BHS_Stable,1,100,0.000542,0.000542
BHS_Experimental,1,100,0.000406,0.000406
QuickSort,1,100,0.000236,0.000236
BHS_Stable,1,100,0.000484,0.000484
BHS_Experimental,1,100,0.000326,0.000326
QuickSort,1,100,0.00025,0.00025
BHS_Stable,1,100,0.000748,0.000748
BHS_Experimental,1,100,0.000322,0.000322
QuickSort,1,100,0.000211,0.000211
BHS_Stable,1,100,0.000508,0.000508
BHS_Experimental,1,100,0.000284,0.000284
QuickSort,1,100,0.000234,0.000234
BHS_Stable,1,100,0.000505,0.000505
BHS_Experimental,1,100,0.000307,0.000307
QuickSort,1,100,0.000265,0.000265
BHS_Stable,1,100,0.000483,0.000483
BHS_Experimental,1,100,0.000294,0.000294
QuickSort,1,100,0.000233,0.000233
BHS_Stable,1,100,0.000587,0.000587
BHS_Experimental,1,100,0.000306,0.000306
QuickSort,1,100,0.000195,0.000195
BHS_Stable,1,100,0.000506,0.000506
BHS_Experimental,1,100,0.000302,0.000302
QuickSort,1,100,0.000198,0.000198
BHS_Stable,1,100,0.00048,0.00048
BHS_Experimental,1,100,0.000265,0.000265
QuickSort,1,100,0.000231,0.000231
BHS_Stable,1,100,0.000528,0.000528
BHS_Experimental,1,100,0.000283,0.000283
QuickSort,1,100,0.000229,0.000229
BHS_Stable,1,100,0.000533,0.000533
BHS_Experimental,1,100,0.000311,0.000311
QuickSort,1,100,0.000252,0.000252
BHS_Stable,1,100,0.000477,0.000477
BHS_Experimental,1,100,0.000279,0.000279
QuickSort,1,100,0.00029,0.00029
BHS_Stable,1,100,0.00048,0.00048
BHS_Experimental,1,100,0.000304,0.000304
QuickSort,1,100,0.000655,0.000655
BHS_Stable,1,100,0.000644,0.000644
BHS_Experimental,1,100,0.00029,0.00029
QuickSort,1,100,0.000313,0.000313
BHS_Stable,1,100,0.000523,0.000523
BHS_Experimental,1,100,0.000305,0.000305
QuickSort,1,100,0.000211,0.000211
BHS_Stable,1,100,0.000503,0.000503
BHS_Experimental,1,100,0.000293,0.000293
QuickSort,1,100,0.000238,0.000238
BHS_Stable,1,100,0.000502,0.000502
BHS_Experimental,1,100,0.000299,0.000299
QuickSort,1,100,0.000263,0.000263
BHS_Stable,1,100,0.000543,0.000543
BHS_Experimental,1,100,0.000303,0.000303
QuickSort,1,100,0.000251,0.000251
BHS_Stable,1,100,0.000498,0.000498
BHS_Experimental,1,100,0.00033,0.00033
QuickSort,1,100,0.000301,0.000301
BHS_Stable,1,100,0.000755,0.000755
BHS_Experimental,1,100,0.000302,0.000302
QuickSort,1,100,0.00023,0.00023
BHS_Stable,1,100,0.000513,0.000513
BHS_Experimental,1,100,0.000291,0.000291
QuickSort,1,100,0.00026,0.00026
BHS_Stable,1,100,0.000514,0.000514
BHS_Experimental,1,100,0.000275,0.000275
QuickSort,1,100,0.000301,0.000301
BHS_Stable,1,100,0.000559,0.000559
BHS_Experimental,1,100,0.000299,0.000299
QuickSort,1,100,0.000267,0.000267
BHS_Stable,1,100,0.000488,0.000488
BHS_Experimental,1,100,0.000303,0.000303
QuickSort,1,100,0.000209,0.000209
BHS_Stable,1,100,0.000633,0.000633
BHS_Experimental,1,100,0.000352,0.000352
QuickSort,1,100,0.00028,0.00028
BHS_Stable,1,100,0.000514,0.000514
BHS_Experimental,1,100,0.000356,0.000356
QuickSort,1,100,0.00027,0.00027
BHS_Stable,1,100,0.000539,0.000539
BHS_Experimental,1,100,0.000304,0.000304
QuickSort,1,100,0.000262,0.000262
BHS_Stable,1,100,0.000497,0.000497
BHS_Experimental,1,100,0.000288,0.000288
QuickSort,1,100,0.000293,0.000293
BHS_Stable,1,100,0.000569,0.000569
BHS_Experimental,1,100,0.000321,0.000321
QuickSort,1,100,0.00025,0.00025
BHS_Stable,1,100,0.000586,0.000586
BHS_Experimental,1,100,0.000401,0.000401
QuickSort,1,100,0.000221,0.000221
BHS_Stable,1,100,0.000519,0.000519
BHS_Experimental,1,100,0.000304,0.000304
QuickSort,1,100,0.000261,0.000261
BHS_Stable,1,100,0.000534,0.000534
BHS_Experimental,1,100,0.000311,0.000311
QuickSort,1,100,0.000346,0.000346
BHS_Stable,1,100,0.000574,0.000574
BHS_Experimental,1,100,0.00032,0.00032
QuickSort,1,100,0.000242,0.000242
BHS_Stable,1,100,0.000679,0.000679
BHS_Experimental,1,100,0.000328,0.000328
QuickSort,1,100,0.000282,0.000282
BHS_Stable,1,100,0.000596,0.000596
BHS_Experimental,1,100,0.000279,0.000279
QuickSort,1,100,0.000252,0.000252
